"266","Raul Seixas","Raul Seixas","88.984663","47.22185"
"267","Red Hot Chili Peppers","Blood Sugar Sex Magik","139.67203807","73.95121666"
"268","Red Hot Chili Peppers","By The Way","129.76616001","68.83251666"
"269","Red Hot Chili Peppers","Californication","106.0463953","56.42435"
"270","REM","Green","77.14873886","41.0335"
"271","REM","New Adventures In Hi-Fi","123.31552219","65.552"
"272","REM","The Best Of REM: The IRS Years","112.36846065","59.50678333"
"273","REM Feat Kate Pearson","Out Of Time","83.33353805","44.16861666"
"274","Richard Marlow & The Choir of Trinity College. Cambridge","Allegri: Miserere","7.90208911","8.35838333"
"275","Roger Norrington. London Classical Players","Purcell: The Fairy Queen","5.71031093","6.0716"
"276","Royal Philharmonic Orchestra & Sir Thomas Beecham","Haydn: Symphonies 99 - 104","9.61863231","5.11145"
"277","Rush","Retrospective I (1974-1980)","142.49755668","75.81156666"
"278","Santana","Santana - As Years Go By","135.17393589","71.73131666"
"279","Santana","Santana Live","124.61047363","67.39238333"
"280","Santana","Supernatural","142.39611053","75.00918333"
"281","Scholars Baroque Ensemble","Handel: The Messiah (Highlights)","9.11058425","9.70048333"
"282","Scorpions","20th Century Masters - The Millennium Collection: The Best of Scorpions","55.09335613","57.47403333"
"283","Sergei Prokofiev & Yuri Temirkanov","Prokofiev: Symphony No1","4.00118064","4.23335"
"284","Sir Georg Solti & Wiener Philharmoniker","Wagner: Favourite Overtures","2.96994113","3.15013333"
"285","Sir Georg Solti. Sumi Jo & Wiener Philharmoniker","Mozart Gala: Famous Arias","2.72890853","2.91355"
"286","Skank","Maquinarama","100.83504962","53.22701666"
"287","Skank","O Samba Poconé","85.83079242","44.90615"
"288","Smashing Pumpkins","Judas 0: B-Sides and Rarities","131.18315696","70.1922"
"289","Smashing Pumpkins","Rotten Apples: Greatest Hits","139.03120803","74.17845"
"290","Soundgarden","A-Sides","148.68097591","79.20048333"
"291","Spyro Gyra","Heart of the Night","110.37488555","58.29301666"
"292","Spyro Gyra","Morning Dance","79.0504589","41.27775"
"293","Stevie Ray Vaughan & Double Trouble","In Step","77.23792457","41.14451666"
"294","Stone Temple Pilots","Core","100.23197555","53.64581666"
"295","System Of A Down","Mezmerize","68.09316349","36.21083333"
"296","Temple of the Dog","Temple of the Dog","53.5946865","55.28175"
"297","Terry Bozzio. Tony Levin & Steve Stevens","[1997] Black Light Syndrome","127.11408424","67.17556666"
"298","The 12 Cellists of The Berlin Philharmonic","South American Getaway","4.55988311","4.82313333"
"299","The Black Crowes","Live [Disc 1]","103.23044681","54.99508333"
"300","The Black Crowes","Live [Disc 2]","92.65395736","49.43971666"
"301","The Clash","The Singles","121.74780654","64.41131666"
"302","The Cult","Beyond Good And Evil","95.13528537","51.04838333"
"303","The Cult","Pure Cult: The Best Of The Cult (For Rockers. Ravers. Lovers & Sinners) [UK]","145.48541355","77.54566666"
"304","The Doors","The Doors","83.31488418","44.49556666"
"305","The King's Singers","English Renaissance","3.3040657","3.3827"
